stage,horizon,test_r2,mae,naive_r2,gap_vs_naive,source
S0: Pre-audit (v5 approx.),1,0.6205,1.462,0.7779,-0.15739999999999998,conversation log
S0: Pre-audit (v5 approx.),3,0.6704,1.384,0.8158,-0.14539999999999997,conversation log
S0: Pre-audit (v5 approx.),7,-0.089,2.784,0.6823,-0.7713,conversation log
S1: +circular feats +leaky rank,1,-0.23251351623016192,1.8752612553157164,0.7779,-1.010413516230162,computed
S1: +circular feats +leaky rank,3,-0.10801082447583199,1.7610446593814524,0.8158,-0.923810824475832,computed
S1: +circular feats +leaky rank,7,-0.5624371722406247,2.1834814295692313,0.6823,-1.2447371722406246,computed
"S2: –circular, +leaky rank",1,-0.23251351623016192,1.8752612553157164,0.7779,-1.010413516230162,computed
"S2: –circular, +leaky rank",3,-0.10801082447583199,1.7610446593814524,0.8158,-0.923810824475832,computed
"S2: –circular, +leaky rank",7,-0.5624371722406247,2.1834814295692313,0.6823,-1.2447371722406246,computed
"S3: –circular, clean rank",1,-0.25019706692517985,1.8946228784481822,0.7779,-1.0280970669251799,computed
"S3: –circular, clean rank",3,-0.10128372652185513,1.7533560194954465,0.8158,-0.9170837265218551,computed
"S3: –circular, clean rank",7,-0.550340183694584,2.17426985106339,0.6823,-1.232640183694584,computed
S4: +bfill fix +PCA fix (pipeline),1,0.7357,1.152,0.7779,-0.042200000000000015,conversation log
S4: +bfill fix +PCA fix (pipeline),3,0.7553,1.195,0.8158,-0.0605,conversation log
S4: +bfill fix +PCA fix (pipeline),7,0.4985,1.695,0.6823,-0.18380000000000002,conversation log
S5: +per-horizon tuning (v6.2),1,0.7409,1.127,0.7779,-0.03700000000000003,xgboost_model.py output
S5: +per-horizon tuning (v6.2),3,0.74,1.236,0.8158,-0.07579999999999998,xgboost_model.py output
S5: +per-horizon tuning (v6.2),7,0.527,1.548,0.6823,-0.1553,xgboost_model.py output
