cause,effect,lag,f_stat,p_value,significant,stars,direction
conflict_int,risk_score,1,4.5312,0.033486,True,*,conflict_int → risk_score
conflict_int,risk_score,3,5.3609,0.001144,True,**,conflict_int → risk_score
conflict_int,risk_score,7,4.8125,2.3e-05,True,***,conflict_int → risk_score
article_count,risk_score,1,1.0619,0.303001,False,n.s.,article_count → risk_score
article_count,risk_score,3,3.5469,0.014111,True,*,article_count → risk_score
article_count,risk_score,7,4.9307,1.7e-05,True,***,article_count → risk_score
avg_tone,risk_score,1,1.7068,0.191656,False,n.s.,avg_tone → risk_score
avg_tone,risk_score,3,1.9596,0.11827,False,n.s.,avg_tone → risk_score
avg_tone,risk_score,7,2.7101,0.008639,True,**,avg_tone → risk_score
oil_return,risk_score,1,0.3507,0.553823,False,n.s.,oil_return → risk_score
oil_return,risk_score,3,0.3567,0.784305,False,n.s.,oil_return → risk_score
oil_return,risk_score,7,1.077,0.375773,False,n.s.,oil_return → risk_score
fatalities,risk_score,1,10.9174,0.000981,True,***,fatalities → risk_score
fatalities,risk_score,3,1.2775,0.280664,False,n.s.,fatalities → risk_score
fatalities,risk_score,7,1.7065,0.103538,False,n.s.,fatalities → risk_score
risk_score,conflict_int,1,6.1172,0.013525,True,*,risk_score → conflict_int
risk_score,conflict_int,3,0.6868,0.560148,False,n.s.,risk_score → conflict_int
risk_score,conflict_int,7,13.773,0.0,True,***,risk_score → conflict_int
risk_score,article_count,1,6.8226,0.009114,True,**,risk_score → article_count
risk_score,article_count,3,6.9497,0.000123,True,***,risk_score → article_count
risk_score,article_count,7,1.2552,0.269406,False,n.s.,risk_score → article_count
conflict_int,article_count,1,0.0534,0.817247,False,n.s.,conflict_int → article_count
conflict_int,article_count,3,0.0278,0.993738,False,n.s.,conflict_int → article_count
conflict_int,article_count,7,0.9448,0.470685,False,n.s.,conflict_int → article_count
article_count,conflict_int,1,0.0025,0.959857,False,n.s.,article_count → conflict_int
article_count,conflict_int,3,0.105,0.957194,False,n.s.,article_count → conflict_int
article_count,conflict_int,7,0.1444,0.994628,False,n.s.,article_count → conflict_int
oil_return,conflict_int,1,0.6432,0.422712,False,n.s.,oil_return → conflict_int
oil_return,conflict_int,3,1.9477,0.120108,False,n.s.,oil_return → conflict_int
oil_return,conflict_int,7,0.62,0.739732,False,n.s.,oil_return → conflict_int
