task,horizon,model,r2,mae,auc,ap,f1,precision,recall,brier
regression,1,Naive,-0.03541856801584764,1.7305150214592273,,,,,,
regression,1,AR(14)-Ridge,-0.026679615252203304,1.7216585762526548,,,,,,
regression,1,ARIMA,0.29757087324478326,1.3820580964832763,,,,,,
regression,3,Naive,-0.021338065714675558,1.7421888412017166,,,,,,
regression,3,AR(14)-Ridge,-0.007520093763076829,1.726473230322078,,,,,,
regression,3,ARIMA,0.19634864365686788,1.4817209091947205,,,,,,
regression,7,Naive,-0.29351717252574305,1.9521030042918457,,,,,,
regression,7,AR(14)-Ridge,-0.1494512060911417,1.8367479311556476,,,,,,
regression,7,ARIMA,0.05002336076810343,1.7036421707270908,,,,,,
regression,"1,3,7",XGBoost v6.2,0.7409 / 0.7400 / 0.5270,1.127 / 1.236 / 1.548,,,,,,
classification,7,Always-0,,,,,0.0,0.0,0.0,0.21888412017167383
classification,7,Trend heuristic,,,0.35105580693815985,0.16889427006751606,0.1807909604519774,0.12698412698412698,0.3137254901960784,0.2779581363092177
classification,7,Logistic Regression,,,0.2946563240680887,0.15292781009101886,0.0,0.0,0.0,0.2188841201501806
classification,7,XGBoost (OOF),,,0.8106370753429577,0.3147952605736343,0.4472049689440994,0.32727272727272727,0.7058823529411765,0.06329346092419631
