Feature,Importance
embedding_pca_1,0.6927351
rs_lag_1,0.5935926
rs_change_3,0.58580655
rs_lag_3,0.46523637
month,0.40567815
rs_dev_30,0.35776633
rs_lag_5,0.28399628
rs_roll_std_7,0.25794753
oil_ret_1,0.24337292
rs_roll_mean_7,0.23033659
fatalities_lag_7,0.22875568
rs_change_7,0.20139635
oil_ret_7,0.19932637
rs_lag_7,0.19594502
embedding_pca_3,0.19292851
intensity_lag_3,0.18037926
rs_roll_mean_14,0.16948107
oil_lag_7,0.16229972
embedding_pca_4,0.1512259
rs_dev_14,0.13655128
embedding_pca_9,0.13254015
intensity_lag_60,0.13173637
rs_lag_2,0.12059691
rs_lag_14,0.117354825
rs_change_1,0.112966135
intensity_lag_90,0.111475036
embedding_pca_7,0.104542494
embedding_pca_6,0.10242672
embedding_pca_10,0.101141624
rs_roll_mean_30,0.07304431
embedding_pca_8,0.072066054
rs_dev_7,0.06302686
fatality_mom_lag1,0.060255382
fatalities_lag_3,0.050936762
embedding_pca_2,0.050123088
intensity_lag_7,0.04665422
crisis_lag1,0.028984785
fatalities_lag_1,0.024887696
rs_roll_std_30,0.022926927
severity_7d_lag1,0.02292582
oil_lag_1,0.016480613
oil_lag_3,0.012742246
rs_roll_std_14,0.010362329
events_30d_lag1,0.0
intensity_lag_1,0.0
is_monday,0.0
embedding_pca_5,0.0
