Feature,Importance
fatalities_lag_7,0.258717
rs_lag_5,0.22079264
fatalities_lag_1,0.21247187
embedding_pca_1,0.20279938
rs_lag_7,0.19690815
rs_change_1,0.16859818
embedding_pca_3,0.15787888
rs_change_3,0.13772172
rs_dev_7,0.13593674
embedding_pca_8,0.103285134
embedding_pca_2,0.10264391
embedding_pca_6,0.1001319
oil_ret_1,0.09462758
rs_dev_30,0.093303815
embedding_pca_4,0.09181991
rs_roll_std_30,0.09058595
embedding_pca_10,0.09050908
embedding_pca_9,0.085351884
embedding_pca_5,0.07856533
oil_ret_7,0.07441208
rs_lag_3,0.07271283
rs_roll_std_14,0.07195579
intensity_lag_3,0.07146453
fatalities_lag_3,0.071312115
crisis_lag1,0.06903167
severity_7d_lag1,0.06362502
events_30d_lag1,0.060998216
embedding_pca_7,0.060094144
intensity_lag_7,0.058437757
rs_lag_1,0.0566841
rs_roll_std_7,0.05260348
rs_change_7,0.04917652
intensity_lag_60,0.045525838
intensity_lag_90,0.04435803
intensity_lag_1,0.042485185
oil_lag_3,0.040969666
rs_lag_2,0.038532782
rs_lag_14,0.037953068
rs_roll_mean_30,0.035202228
oil_lag_7,0.03350655
rs_dev_14,0.030525966
fatality_mom_lag1,0.026787402
oil_lag_1,0.016146984
month,0.014078457
rs_roll_mean_7,0.012591631
rs_roll_mean_14,0.010094592
is_monday,0.007087277
