,rs_lag_1,rs_lag_2,rs_lag_3,rs_lag_5,rs_lag_7,rs_lag_14,rs_roll_mean_7,rs_roll_std_7,rs_roll_mean_14,rs_roll_std_14,rs_roll_mean_30,rs_roll_std_30,rs_change_1,rs_change_3,rs_change_7,rs_dev_7,rs_dev_14,rs_dev_30,intensity_lag_60,intensity_lag_90,intensity_lag_1,intensity_lag_3,intensity_lag_7,fatalities_lag_1,fatalities_lag_3,fatalities_lag_7,severity_7d_lag1,events_30d_lag1,fatality_mom_lag1,crisis_lag1,oil_lag_1,oil_lag_3,oil_lag_7,oil_ret_1,oil_ret_7,is_monday,month,embedding_pca_1,embedding_pca_2,embedding_pca_3,embedding_pca_4,embedding_pca_5,embedding_pca_6,embedding_pca_7,embedding_pca_8,embedding_pca_9,embedding_pca_10
rs_lag_1,0.03336168,0.0,0.002921957,0.0,0.0021694703,0.0,0.0,0.011440594,0.0,0.0,0.0,0.0,0.0047233407,0.0,0.0,0.0,0.0,0.0070170993,0.0,0.0073271897,0.0,0.0,0.0031070835,0.0068130894,0.0020341468,0.0050283237,0.0031698209,0.0024234303,0.0049248715,0.0050623454,0.0,0.0,0.0,0.0,0.0061151423,0.0,0.008941186,0.0,0.0032712566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067816447
rs_lag_2,0.0,0.11938557,0.008748937,0.003921606,0.0008450991,0.0,0.0041428967,0.002856915,0.0,0.004075612,0.0,0.0,0.0,0.012325501,0.0,0.0036805978,0.001492518,0.0,0.0021909757,0.0016405174,0.0,0.0,0.007394931,0.0,0.0,0.0018811992,0.0,0.008717433,0.004989139,0.0,0.0,0.0,0.001516929,0.0035079494,0.0066515417,0.007909612,0.010231452,0.0,0.0044672685,0.0012320285,0.002587745,0.0,0.0036592826,0.002021867,0.0027184952,0.0023654692,0.005266002
rs_lag_3,0.002921957,0.008748937,0.069755934,0.0065574795,0.0,0.0,0.005072316,0.0,0.0,0.0029953974,0.0,0.009467665,0.0050747152,0.0,0.0,0.010021368,0.0066176243,0.0023500663,0.0013452504,0.0,0.0,0.0,0.0026343325,0.0,0.005632609,0.01750421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007155288,0.0036109341,0.0,0.0029887194,0.0,0.0052367793,0.0057556294,0.0,0.0,0.0021714475,0.0052486532,0.0,0.007852466,0.00229388
rs_lag_5,0.0,0.0039216075,0.0065574795,0.060774904,0.0,0.0,0.0032076938,0.0048760306,0.0,0.010433307,0.0,0.01274297,0.0042241765,0.0042127473,0.0,0.005008809,0.006003512,0.0,0.0010781364,0.003008242,0.0,0.0041278447,0.0,0.0027717894,0.008553231,0.0,0.013349585,0.0,0.0,0.0,0.0,0.006519799,0.012382649,0.0027995417,0.012358313,0.0,0.0,0.001010999,0.0,0.007068996,0.0,0.0,0.0015113722,0.0,0.007248528,0.0044679283,0.007917935
rs_lag_7,0.0021694696,0.0008450992,0.0,0.0,0.08404503,0.0,0.0,0.0045837793,0.0,0.0032647392,0.0,0.009129744,0.005296284,0.005568837,0.0,0.0,0.0016102092,0.0,0.0,0.0045234654,0.0,0.0,0.0017690929,0.001160492,0.006161379,0.0,0.006942776,0.0,0.0023122907,0.0,0.0034978455,0.0,0.0043412386,0.00043146627,0.0017187818,0.0,0.0,0.0028870364,0.0,0.0,0.0054386444,0.0,0.004127805,0.0007995649,0.0039605983,0.008895917,0.005108278
rs_lag_14,0.0,0.0,0.0,0.0,0.0,0.06631098,0.0,0.0,0.0032453444,0.0017907948,0.0,0.0,0.009128618,0.014910703,0.0044209408,0.0,0.0,0.0,0.002285941,0.0051842798,0.0,0.0,0.010037972,0.0066939727,0.0036289918,0.0048199124,0.0,0.0,0.0,0.0,0.0012376112,0.0,0.0032625867,0.007433844,0.0071074073,0.0,0.0,0.004223804,0.0,0.004957592,0.0017810934,0.0,0.0016295861,0.0023863467,0.0,0.0,0.011492902
rs_roll_mean_7,0.0,0.004142897,0.0050723166,0.0032076938,0.0,0.0,0.047296382,0.0021105732,0.017048256,0.0,0.0140190665,0.0,0.0,0.0,0.0031530496,0.0,0.0,0.0,0.0,0.0,0.0,0.0023144127,0.0009821932,0.0,0.008527459,0.005345932,0.0040599345,0.0041693626,0.003130971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000699424,0.0,0.0036283103,0.0,0.0,0.0032728268,0.0048820367,0.008162042,0.00621382,0.0043562036
rs_roll_std_7,0.011440594,0.002856915,0.0,0.004876031,0.004583777,0.0,0.0021105746,0.12416354,0.0,0.0075364118,0.0,0.0030467557,0.0,0.0,0.0037034291,0.0,0.0,0.002178041,0.0055787335,0.005348116,0.0046606497,0.0010909337,0.0,0.0069414373,0.006969513,0.013676953,0.0,0.0,0.0,0.0,0.002187708,0.0,0.0,0.010645223,0.009437923,0.0,0.005388294,0.0053913877,0.010203465,0.0016626397,0.0048611294,0.0074691065,0.012502538,0.0,0.010904376,0.007061852,0.021754451
rs_roll_mean_14,0.0,0.0,0.0,0.0,0.0,0.0032453435,0.017048256,0.0,0.023652384,0.0,0.006588746,0.007861411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032210136,0.0,0.0,0.0,0.0,0.005818485,0.0,0.0,0.011305559,0.0,0.0,0.0,0.0,0.0,0.0,0.0024247342,0.0013212184,0.0,0.0,0.0,0.0,0.010654662,0.0
rs_roll_std_14,0.0,0.004075612,0.0029953974,0.010433304,0.0032647422,0.001790794,0.0,0.007536411,0.0,0.211536,0.0027504028,0.0017781669,0.0030255758,0.0,0.0058300006,0.005091293,0.007134097,0.0,0.0,0.0035662851,0.004413451,0.003493281,0.0055761407,0.0,0.007957098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015835691,0.010465111,0.0019376309,0.0048167603,0.0025394142,0.020077147,0.001983282,0.01602406,0.005905917,0.0071875923,0.0,0.0027257872,0.006842224,0.0046843938,0.011350633
