feature_1,feature_2,interaction
events_30d_lag1,oil_ret_1,0.027049
fatalities_lag_7,embedding_pca_5,0.025463
oil_ret_7,embedding_pca_8,0.023042
oil_ret_1,month,0.021931
rs_roll_std_7,embedding_pca_10,0.021754
fatalities_lag_7,embedding_pca_4,0.021039
rs_roll_std_14,embedding_pca_1,0.020077
embedding_pca_1,embedding_pca_4,0.019723
rs_roll_std_30,embedding_pca_7,0.018918
rs_lag_3,fatalities_lag_7,0.017504
intensity_lag_60,embedding_pca_4,0.01721
rs_roll_mean_7,rs_roll_mean_14,0.017048
oil_lag_7,oil_ret_1,0.016772
intensity_lag_7,fatalities_lag_1,0.016369
embedding_pca_4,embedding_pca_9,0.016266
rs_roll_std_14,embedding_pca_3,0.016024
rs_roll_std_14,oil_lag_7,0.015836
fatality_mom_lag1,oil_ret_1,0.015449
rs_dev_7,oil_ret_1,0.015273
embedding_pca_2,embedding_pca_5,0.015205
